source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker,Student;System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.821540
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm;Yarn,Student;Academic researcher,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.822541
stackoverflow,DE,Germany,,EUR,nan,Unknown,Ansible;Docker;npm,,Some college/university study without earning a degree,,2025-07-02T09:58:35.822541
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm,,"Associate degree (A.A., A.S., etc.)",,2025-07-02T09:58:35.822541
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker,,Primary/elementary school,,2025-07-02T09:58:35.822541
stackoverflow,DE,Germany,,EUR,24,Junior,,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T09:58:35.822541
stackoverflow,DE,Germany,101312.0,EUR,10,Junior,Docker,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T09:58:35.822541
stackoverflow,DE,Germany,895812.0,EUR,30,Junior,,"Developer, desktop or enterprise applications;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T09:58:35.823546
stackoverflow,DE,Germany,54388.0,EUR,2,Junior,,"Developer, desktop or enterprise applications;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.823546
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.823546
stackoverflow,DE,Germany,59724.0,EUR,22,Junior,Yarn,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications;Product manager","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2025-07-02T09:58:35.823546
stackoverflow,DE,Germany,37116.0,EUR,4,Mid-level,Ansible;Docker;Homebrew;Kubernetes;npm;Yarn,Academic researcher;Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.823546
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;Yarn,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.823546
stackoverflow,DE,Germany,,EUR,nan,Unknown,,"Data scientist or machine learning specialist;Developer, full-stack;Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,63986.0,EUR,6,Mid-level,Ansible;Docker;Kubernetes;npm;Terraform;Yarn,"Engineer, site reliability;Developer, full-stack;DevOps specialist;Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,80623.0,EUR,3,Junior,Docker;Homebrew;npm;Yarn,"Developer, front-end;Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,67186.0,EUR,2,Junior,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,63986.0,EUR,5,Mid-level,Docker,"Developer, embedded applications or devices;Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,,EUR,3,Junior,,"Developer, back-end;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,Something else,,2025-07-02T09:58:35.824543
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker,,Some college/university study without earning a degree,,2025-07-02T09:58:35.825542
stackoverflow,DE,Germany,66119.0,EUR,2,Junior,Docker;Homebrew;Terraform,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.825542
stackoverflow,DE,Germany,31992.0,EUR,12,Junior,,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Developer, game or graphics","Other doctoral degree (Ph.D., Ed.D., etc.)",2 to 9 employees,2025-07-02T09:58:35.825542
stackoverflow,DE,Germany,767832.0,EUR,10,Junior,Docker;Homebrew;npm;Yarn,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T09:58:35.825542
stackoverflow,DE,Germany,115176.0,EUR,9,Mid-level,npm;Yarn,"Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.825542
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm;Unity 3D;Yarn,"Developer, back-end;Developer, desktop or enterprise applications;Student","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.826542
stackoverflow,DE,Germany,56304.0,EUR,2,Junior,npm;Unity 3D,"Developer, full-stack;Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T09:58:35.826542
stackoverflow,DE,Germany,,EUR,nan,Unknown,Unity 3D,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.826542
stackoverflow,DE,Germany,74651.0,EUR,7,Mid-level,Docker;Kubernetes;npm;Terraform;Yarn,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,53322.0,EUR,3,Junior,Docker;Homebrew;Kubernetes,Academic researcher;Scientist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.827545
